regNo,courseCode,marks,grade
24BCE10001,CSE2001,86,A
24BCE10001,CSE1021,91,S
24BCE10001,MAT1003,75,B
24BCE10001,PHY1003,62,C
24BCE10001,CHY1005,54,D
24BCE10001,CSA2001,43,E
24BCE10001,CSE3001,38,F
24BCE10001,CSE2006,88,A
24BCE10001,CSE2002,69,C
24BCE10001,MAT2005,82,A
24BCE10001,MAT3002,90,S
24BCE10001,ENG1004,45,E
24BCE10001,ENG2005,79,B
24BCE10002,CSE2001,96,S
24BCE10002,CSE1021,77,B
24BCE10002,MAT1003,81,A
24BCE10002,PHY1003,66,C
24BCE10002,CHY1005,58,D
24BCE10002,CSA2001,43,E
24BCE10002,CSE3001,35,F
24BCE10002,CSE2006,84,A
24BCE10002,CSE2002,70,B
24BCE10002,MAT2005,60,C
24BCE10002,MAT3002,94,S
24BCE10002,ENG1004,41,E
24BCE10002,ENG2005,56,D
24BCE10003,CSE2001,50,D
24BCE10003,CSE1021,39,F
24BCE10003,MAT1003,85,A
24BCE10003,PHY1003,72,B
24BCE10003,CHY1005,91,S
24BCE10003,CSA2001,67,C
24BCE10003,CSE3001,43,E
24BCE10003,CSE2006,88,A
24BCE10003,CSE2002,77,B
24BCE10003,MAT2005,55,D
24BCE10003,MAT3002,81,A
24BCE10003,ENG1004,36,F
24BCE10003,ENG2005,92,S
24BCE10004,CSE2001,78,B
24BCE10004,CSE1021,69,C
24BCE10004,MAT1003,53,D
24BCE10004,PHY1003,87,A
24BCE10004,CHY1005,44,E
24BCE10004,CSA2001,93,S
24BCE10004,CSE3001,79,B
24BCE10004,CSE2006,66,C
24BCE10004,CSE2002,82,A
24BCE10004,MAT2005,38,F
24BCE10004,MAT3002,70,B
24BCE10004,ENG1004,60,C
24BCE10004,ENG2005,54,D
24BCE10005,CSE2001,61,C
24BCE10005,CSE1021,40,E
24BCE10005,MAT1003,89,A
24BCE10005,PHY1003,72,B
24BCE10005,CHY1005,33,F
24BCE10005,CSA2001,96,S
24BCE10005,CSE3001,77,B
24BCE10005,CSE2006,51,D
24BCE10005,CSE2002,88,A
24BCE10005,MAT2005,59,D
24BCE10005,MAT3002,67,C
24BCE10005,ENG1004,84,A
24BCE10005,ENG2005,73,B
24BCE10006,CSE2001,43,E
24BCE10006,CSE1021,72,B
24BCE10006,MAT1003,61,C
